TOA5,
TIMESTAMP,
단위,mm
factor,
초기치,
2022-09-26 18:50,0.000429
2022-09-26 18:55,-0.001573
2022-09-26 19:00,-0.002431
2022-09-26 19:05,-0.001529
2022-09-26 19:10,-0.001122
2022-09-26 19:15,-0.002959
2022-09-26 19:20,-0.00154
2022-09-26 19:25,-0.002574
2022-09-26 19:30,-0.004345
2022-09-26 19:35,-0.003982
2022-09-26 19:40,-0.005995
2022-09-26 19:45,-0.003245
2022-09-26 19:50,-0.005863
2022-09-26 19:55,-0.004103
2022-09-26 20:00,0.028171
2022-09-26 20:05,0.026928
2022-09-26 20:10,0.027148
2022-09-26 20:15,0.026741
2022-09-26 20:20,0.025784
2022-09-26 20:25,0.027214
2022-09-26 20:30,0.026301
2022-09-26 20:35,0.028446
2022-09-26 20:40,0.02607
2022-09-26 20:45,0.028831
2022-09-26 20:50,0.025916
2022-09-26 20:55,0.026873
2022-09-26 21:00,0.026807
2022-09-26 21:05,0.025025
2022-09-26 21:10,0.025498
2022-09-26 21:15,0.025927
2022-09-26 21:20,0.024508
2022-09-26 21:25,0.026235
2022-09-26 21:30,0.024068
2022-09-26 21:35,0.024761
2022-09-26 21:40,0.025597
2022-09-26 21:45,0.025454
2022-09-26 21:50,0.02343
2022-09-26 21:55,0.02321
2022-09-26 22:00,0.02299
2022-09-26 22:05,0.023771
2022-09-26 22:10,0.024431
2022-09-26 22:15,0.022308
2022-09-26 22:20,0.022979
2022-09-26 22:25,0.022847
2022-09-26 22:30,0.024464
2022-09-26 22:35,0.024728
2022-09-26 22:40,0.023353
2022-09-26 22:45,0.021912
2022-09-26 22:50,0.02079
2022-09-26 22:55,0.021395
2022-09-26 23:00,0.020966
2022-09-26 23:05,0.021065
2022-09-26 23:10,0.021164
2022-09-26 23:15,0.021934
2022-09-26 23:20,0.020911
2022-09-26 23:25,0.022286
2022-09-26 23:30,0.02035
2022-09-26 23:35,0.022264
2022-09-26 23:40,0.020449
2022-09-26 23:45,0.020317
2022-09-26 23:50,0.020746
2022-09-26 23:55,0.021263
2022-09-27 0:00,0.021483
2022-09-27 0:05,0.019327
2022-09-27 0:10,0.018964
2022-09-27 0:15,0.019723
2022-09-27 0:20,0.017644
2022-09-27 0:25,0.017556
2022-09-27 0:30,0.020119
2022-09-27 0:35,0.019074
2022-09-27 0:40,0.018425
2022-09-27 0:45,0.020053
2022-09-27 0:50,0.019701
2022-09-27 0:55,0.018018
2022-09-27 1:00,0.019063
2022-09-27 1:05,0.018293
2022-09-27 1:10,0.017666
2022-09-27 1:15,0.018447
2022-09-27 1:20,0.017941
2022-09-27 1:25,0.01639
2022-09-27 1:30,0.016676
2022-09-27 1:35,0.017193
2022-09-27 1:40,0.016654
2022-09-27 1:45,0.016808
2022-09-27 1:50,0.017875
2022-09-27 1:55,0.016401
2022-09-27 2:00,0.016984
2022-09-27 2:05,0.014916
2022-09-27 2:10,0.016027
2022-09-27 2:15,0.016951
2022-09-27 2:20,0.015554
2022-09-27 2:25,0.016258
2022-09-27 2:30,0.014949
2022-09-27 2:35,0.015642
2022-09-27 2:40,0.016775
2022-09-27 2:45,0.015279
2022-09-27 2:50,0.013992
2022-09-27 2:55,0.015939
2022-09-27 3:00,0.015565
2022-09-27 3:05,0.01705
2022-09-27 3:10,0.014157
2022-09-27 3:15,0.012881
2022-09-27 3:20,0.014333
2022-09-27 3:25,0.014014
2022-09-27 3:30,0.012914
2022-09-27 3:35,0.011484
2022-09-27 3:40,0.013915
2022-09-27 3:45,0.01463
2022-09-27 3:50,0.014355
2022-09-27 3:55,0.01287
2022-09-27 4:00,0.013662
2022-09-27 4:05,0.012947
2022-09-27 4:10,0.013442
2022-09-27 4:15,0.008415
2022-09-27 4:20,0.014146
2022-09-27 4:25,0.012155
2022-09-27 4:30,0.011891
2022-09-27 4:35,0.014817
2022-09-27 4:40,0.01133
2022-09-27 4:45,0.011165
2022-09-27 4:50,0.01254
2022-09-27 4:55,0.011517
2022-09-27 5:00,0.010857
2022-09-27 5:05,0.012595
2022-09-27 5:10,0.010296
2022-09-27 5:15,0.00935
2022-09-27 5:20,0.009955
2022-09-27 5:25,0.009834
2022-09-27 5:30,0.00946
2022-09-27 5:35,0.010296
2022-09-27 5:40,0.010714
2022-09-27 5:45,0.00946
2022-09-27 5:50,0.030866
2022-09-27 5:55,0.030228
2022-09-27 6:00,0.029447
2022-09-27 6:05,0.037609
2022-09-27 6:10,0.039127
2022-09-27 6:15,0.041613
2022-09-27 6:20,0.040568
2022-09-27 6:25,0.04466
2022-09-27 6:30,0.048312
2022-09-27 6:35,0.046684
2022-09-27 6:40,0.052217
2022-09-27 6:45,0.05588
2022-09-27 6:50,0.055737
2022-09-27 6:55,0.055352
2022-09-27 7:00,0.057002
2022-09-27 7:05,0.055869
2022-09-27 7:10,0.056375
2022-09-27 7:15,0.058916
2022-09-27 7:20,0.056848
2022-09-27 7:25,0.065318
2022-09-27 7:30,0.066253
2022-09-27 7:35,0.10054
2022-09-27 7:40,0.102245
2022-09-27 7:45,0.10043
2022-09-27 7:50,0.102762
2022-09-27 7:55,0.116776
2022-09-27 8:00,0.12078
2022-09-27 8:05,0.142021
2022-09-27 8:10,0.137038
2022-09-27 8:15,0.133441
2022-09-27 8:20,0.128337
2022-09-27 8:25,0.12639
2022-09-27 8:30,0.096591
2022-09-27 8:35,0.098186
2022-09-27 8:40,0.099407
2022-09-27 8:45,0.100287
2022-09-27 8:50,0.099605
2022-09-27 8:55,0.097515
2022-09-27 9:00,0.097724
2022-09-27 9:05,0.098989
2022-09-27 9:10,0.099726
2022-09-27 9:15,0.082555
2022-09-27 9:20,0.063976
2022-09-27 9:25,0.063426
2022-09-27 9:30,0.032208
2022-09-27 9:35,0.014553
2022-09-27 9:40,0.009053
2022-09-27 9:45,0.012595
2022-09-27 9:50,0.016071
2022-09-27 9:55,0.010494
2022-09-27 10:00,0.010527
2022-09-27 10:05,0.003311
2022-09-27 10:10,0.009735
2022-09-27 10:15,0.007755
2022-09-27 10:20,-0.020108
2022-09-27 10:25,-0.014014
2022-09-27 10:30,-0.012716
2022-09-27 10:35,-0.013552
2022-09-27 10:40,-0.011561
2022-09-27 10:45,-0.011286
2022-09-27 10:50,-0.027951
2022-09-27 10:55,-0.023221
2022-09-27 11:00,-0.021538
2022-09-27 11:05,-0.025344
2022-09-27 11:10,-0.02915
2022-09-27 11:15,-0.034573
2022-09-27 11:20,-0.002585
2022-09-27 11:25,-0.006468
2022-09-27 11:30,-0.006545
2022-09-27 11:35,-0.00495
2022-09-27 11:40,-0.003729
2022-09-27 11:45,-0.005148
2022-09-27 11:50,-0.005258
2022-09-27 11:55,-0.005434
2022-09-27 12:00,-0.015026
2022-09-27 12:05,-0.01419
2022-09-27 12:10,-0.012793
2022-09-27 12:15,-0.029084
2022-09-27 12:20,-0.03718
2022-09-27 12:25,-0.047784
2022-09-27 12:30,-0.046101
2022-09-27 12:35,-0.050424
2022-09-27 12:40,-0.035761
2022-09-27 12:45,-0.050633
2022-09-27 12:50,-0.035046
2022-09-27 12:55,-0.054747
2022-09-27 13:00,-0.044869
2022-09-27 13:05,-0.056672
2022-09-27 13:10,-0.043945
2022-09-27 13:15,-0.034815
2022-09-27 13:20,-0.047344
2022-09-27 13:25,-0.047256
2022-09-27 13:30,-0.061556
2022-09-27 13:35,-0.064075
2022-09-27 13:40,-0.065164
2022-09-27 13:45,-0.060896
2022-09-27 13:50,-0.056089
2022-09-27 13:55,-0.063162
2022-09-27 14:00,-0.052624
2022-09-27 14:05,-0.060522
2022-09-27 14:10,-0.043164
2022-09-27 14:15,-0.062689
2022-09-27 14:20,-0.064845
2022-09-27 14:25,-0.058245
2022-09-27 14:30,-0.061578
2022-09-27 14:35,-0.062667
2022-09-27 14:40,-0.031152
2022-09-27 14:45,-0.031955
2022-09-27 14:50,-0.029733
2022-09-27 14:55,-0.025124
2022-09-27 15:00,-0.025245
2022-09-27 15:05,-0.022638
2022-09-27 15:10,-0.026202
2022-09-27 15:15,-0.031493
2022-09-27 15:20,-0.012353
2022-09-27 15:25,-0.025839
2022-09-27 15:30,-0.022165
2022-09-27 15:35,-0.01485
2022-09-27 15:40,-0.009119
2022-09-27 15:45,-0.007062
2022-09-27 15:50,-0.002585
2022-09-27 15:55,-0.000935
2022-09-27 16:00,-0.004224
2022-09-27 16:05,-0.00264
2022-09-27 16:10,0.003564
2022-09-27 16:15,0.000605
2022-09-27 16:20,-0.000616
2022-09-27 16:25,0.006864
2022-09-27 16:30,0.010373
2022-09-27 16:35,0.012859
2022-09-27 16:40,0.016676
2022-09-27 16:45,0.008591
2022-09-27 16:50,0.013288
2022-09-27 16:55,0.019162
2022-09-27 17:00,0.018975
2022-09-27 17:05,0.023738
2022-09-27 17:10,0.022165
2022-09-27 17:15,0.02354
2022-09-27 17:20,0.02761
2022-09-27 17:25,0.032208
2022-09-27 17:30,0.034188
2022-09-27 17:35,0.03839
2022-09-27 17:40,0.038577
2022-09-27 17:45,0.050204
2022-09-27 17:50,0.052525
2022-09-27 17:55,0.049533
2022-09-27 18:00,0.057992
2022-09-27 18:05,0.057453
2022-09-27 18:10,0.056694
2022-09-27 18:15,0.056177
2022-09-27 18:20,0.054461
2022-09-27 18:25,0.05522
2022-09-27 18:30,0.053229
2022-09-27 18:35,0.051843
2022-09-27 18:40,0.050996
2022-09-27 18:45,0.050743
2022-09-27 18:50,0.049049
2022-09-27 18:55,0.048675
2022-09-27 19:00,0.048103
2022-09-27 19:05,0.047267
2022-09-27 19:10,0.044484
2022-09-27 19:15,0.062249
2022-09-27 19:20,0.061248
2022-09-27 19:25,0.059697
2022-09-27 19:30,0.058729
2022-09-27 19:35,0.058377
2022-09-27 19:40,0.058762
2022-09-27 19:45,0.057112
2022-09-27 19:50,0.058773
2022-09-27 19:55,0.058542
2022-09-27 20:00,0.056386
2022-09-27 20:05,0.057816
2022-09-27 20:10,0.055671
2022-09-27 20:15,0.054956
2022-09-27 20:20,0.057057
2022-09-27 20:25,0.054274
2022-09-27 20:30,0.056012
2022-09-27 20:35,0.055396
2022-09-27 20:40,0.054043
2022-09-27 20:45,0.056628
2022-09-27 20:50,0.054252
2022-09-27 20:55,0.054263
2022-09-27 21:00,0.054626
2022-09-27 21:05,0.078705
2022-09-27 21:10,0.079442
2022-09-27 21:15,0.079321
2022-09-27 21:20,0.081477
2022-09-27 21:25,0.080531
2022-09-27 21:30,0.078782
2022-09-27 21:35,0.077451
2022-09-27 21:40,0.0792
2022-09-27 21:45,0.07876
2022-09-27 21:50,0.079112
2022-09-27 21:55,0.077847
2022-09-27 22:00,0.077517
2022-09-27 22:05,0.077869
2022-09-27 22:10,0.077935
2022-09-27 22:15,0.076241
2022-09-27 22:20,0.07821
2022-09-27 22:25,0.076549
2022-09-27 22:30,0.076329
2022-09-27 22:35,0.075625
2022-09-27 22:40,0.075218
2022-09-27 22:45,0.075064
2022-09-27 22:50,0.077121
2022-09-27 22:55,0.074921
2022-09-27 23:00,0.075097
2022-09-27 23:05,0.075427
2022-09-27 23:10,0.074239
2022-09-27 23:15,0.073172
2022-09-27 23:20,0.073832
2022-09-27 23:25,0.073172
2022-09-27 23:30,0.073623
2022-09-27 23:35,0.073634
2022-09-27 23:40,0.075394
2022-09-27 23:45,0.07392
2022-09-27 23:50,0.073447
2022-09-27 23:55,0.074371
2022-09-28 0:00,0.074921
2022-09-28 0:05,0.073865
2022-09-28 0:10,0.073348
2022-09-28 0:15,0.074008
2022-09-28 0:20,0.072765
2022-09-28 0:25,0.073788
2022-09-28 0:30,0.072116
2022-09-28 0:35,0.073942
2022-09-28 0:40,0.072215
2022-09-28 0:45,0.073282
2022-09-28 0:50,0.071335
2022-09-28 0:55,0.070983
2022-09-28 1:00,0.071599
2022-09-28 1:05,0.071489
2022-09-28 1:10,0.070928
2022-09-28 1:15,0.072886
2022-09-28 1:20,0.071918
2022-09-28 1:25,0.07062
2022-09-28 1:30,0.072061
2022-09-28 1:35,0.069883
2022-09-28 1:40,0.069784
2022-09-28 1:45,0.071148
2022-09-28 1:50,0.072116
2022-09-28 1:55,0.072017
2022-09-28 2:00,0.06996
2022-09-28 2:05,0.069696
2022-09-28 2:10,0.070301
2022-09-28 2:15,0.07073
2022-09-28 2:20,0.068937
2022-09-28 2:25,0.069201
2022-09-28 2:30,0.070642
2022-09-28 2:35,0.069894
2022-09-28 2:40,0.068453
2022-09-28 2:45,0.069949
2022-09-28 2:50,0.069168
2022-09-28 2:55,0.067023
2022-09-28 3:00,0.067287
2022-09-28 3:05,0.068541
2022-09-28 3:10,0.066792
2022-09-28 3:15,0.066308
2022-09-28 3:20,0.068101
2022-09-28 3:25,0.06732
2022-09-28 3:30,0.068189
2022-09-28 3:35,0.065626
2022-09-28 3:40,0.066814
2022-09-28 3:45,0.065362
2022-09-28 3:50,0.064361
2022-09-28 3:55,0.064625
2022-09-28 4:00,0.064746
2022-09-28 4:05,0.064438
2022-09-28 4:10,0.066781
2022-09-28 4:15,0.065637
2022-09-28 4:20,0.066935
2022-09-28 4:25,0.066209
2022-09-28 4:30,0.065021
2022-09-28 4:35,0.065307
2022-09-28 4:40,0.065131
2022-09-28 4:45,0.066869
2022-09-28 4:50,0.065406
2022-09-28 4:55,0.066847
2022-09-28 5:00,0.065296
2022-09-28 5:05,0.065681
2022-09-28 5:10,0.064658
2022-09-28 5:15,0.064845
2022-09-28 5:20,0.065582
2022-09-28 5:25,0.064361
2022-09-28 5:30,0.063327
2022-09-28 5:35,0.064504
2022-09-28 5:40,0.062084
2022-09-28 5:45,0.06248
2022-09-28 5:50,0.065329
2022-09-28 5:55,0.06424
2022-09-28 6:00,0.063162
2022-09-28 6:05,0.065054
2022-09-28 6:10,0.062755
2022-09-28 6:15,0.063195
2022-09-28 6:20,0.06281
2022-09-28 6:25,0.064691
2022-09-28 6:30,0.061842
2022-09-28 6:35,0.063382
2022-09-28 6:40,0.062546
2022-09-28 6:45,0.062931
2022-09-28 6:50,0.063954
2022-09-28 6:55,0.063305
2022-09-28 7:00,0.062359
2022-09-28 7:05,0.062678
2022-09-28 7:10,0.121946
2022-09-28 7:15,0.121671
2022-09-28 7:20,0.122694
2022-09-28 7:25,0.122397
2022-09-28 7:30,0.122265
2022-09-28 7:35,0.124487
2022-09-28 7:40,0.121418
2022-09-28 7:45,0.124333
2022-09-28 7:50,0.123508
2022-09-28 7:55,0.122089
2022-09-28 8:00,0.122012
2022-09-28 8:05,0.12529
2022-09-28 8:10,0.122452
2022-09-28 8:15,0.12507
2022-09-28 8:20,0.122826
2022-09-28 8:25,0.125147
2022-09-28 8:30,0.119229
2022-09-28 8:35,0.121924
2022-09-28 8:40,0.119075
2022-09-28 8:45,0.120681
2022-09-28 8:50,0.151668
2022-09-28 8:55,0.143836
2022-09-28 9:00,0.13288
2022-09-28 9:05,0.130218
2022-09-28 9:10,0.128216
2022-09-28 9:15,0.12848
2022-09-28 9:20,0.133595
2022-09-28 9:25,0.320914
2022-09-28 9:30,0.340373
2022-09-28 9:35,0.341649
2022-09-28 9:40,0.34243
2022-09-28 9:45,0.342232
2022-09-28 9:50,0.33561
2022-09-28 9:55,0.339306
2022-09-28 10:00,0.341
2022-09-28 10:05,0.340868
2022-09-28 10:10,0.344762
2022-09-28 10:15,0.348194
2022-09-28 10:20,0.345862
2022-09-28 10:25,0.345565
2022-09-28 10:30,0.345873
2022-09-28 10:35,0.516318
2022-09-28 10:40,0.552167
2022-09-28 10:45,0.566148
2022-09-28 10:50,0.578567
2022-09-28 10:55,0.573672
2022-09-28 11:00,0.574486
2022-09-28 11:05,0.550792
2022-09-28 11:10,0.551947
2022-09-28 11:15,0.560274
2022-09-28 11:20,0.561704
2022-09-28 11:25,0.554312
2022-09-28 11:30,0.554686
2022-09-28 11:35,0.553355
2022-09-28 11:40,0.554202
2022-09-28 11:45,0.554015
2022-09-28 11:50,0.554972
2022-09-28 11:55,0.554774
2022-09-28 12:00,0.556248
2022-09-28 12:05,0.557073
2022-09-28 12:10,0.558514
2022-09-28 12:15,0.556083
2022-09-28 12:20,0.550968
2022-09-28 12:25,0.550572
2022-09-28 12:30,0.537702
2022-09-28 12:35,0.540221
2022-09-28 12:40,0.544071
2022-09-28 12:45,0.542311
2022-09-28 12:50,0.545215
2022-09-28 12:55,0.545303
2022-09-28 13:00,0.544643
2022-09-28 13:05,0.54373
2022-09-28 13:10,0.539363
2022-09-28 13:15,0.539484
2022-09-28 13:20,0.539891
2022-09-28 13:25,0.541838
2022-09-28 13:30,0.540804
2022-09-28 13:35,0.546557
2022-09-28 13:40,0.542971
2022-09-28 13:45,0.542575
2022-09-28 13:50,0.543257
2022-09-28 13:55,0.546161
2022-09-28 14:00,0.552431
2022-09-28 14:05,0.556072
2022-09-28 14:10,0.554411
2022-09-28 14:15,0.555401
2022-09-28 14:20,0.555951
2022-09-28 14:25,0.55583
2022-09-28 14:30,0.551386
2022-09-28 14:35,0.553806
2022-09-28 14:40,0.551364
2022-09-28 14:45,0.540848
2022-09-28 14:50,0.547041
2022-09-28 14:55,0.54978
2022-09-28 15:00,0.553806
2022-09-28 15:05,0.553861
2022-09-28 15:10,0.553421
2022-09-28 15:15,0.553146
2022-09-28 15:20,0.554191
2022-09-28 15:25,0.559768
2022-09-28 15:30,0.563981
2022-09-28 15:35,0.563057
2022-09-28 15:40,0.564905
2022-09-28 15:45,0.56243
2022-09-28 15:50,0.567281
2022-09-28 15:55,0.576081
2022-09-28 16:00,0.575432
2022-09-28 16:05,0.586146
2022-09-28 16:10,0.584309
2022-09-28 16:15,0.585871
2022-09-28 16:20,0.587301
2022-09-28 16:25,0.588808
2022-09-28 16:30,0.591602
2022-09-28 16:35,0.604494
2022-09-28 16:40,0.607178
2022-09-28 16:45,0.612865
2022-09-28 16:50,0.614977
2022-09-28 16:55,0.616
2022-09-28 17:00,0.616869
2022-09-28 17:05,0.627132
2022-09-28 17:10,0.629508
2022-09-28 17:15,0.628265
2022-09-28 17:20,0.626681
2022-09-28 17:25,0.63899
2022-09-28 17:30,0.640695
2022-09-28 17:35,0.639111
2022-09-28 17:40,0.649319
2022-09-28 17:45,0.649297
2022-09-28 17:50,0.649803
2022-09-28 17:55,0.65879
2022-09-28 18:00,0.658504
2022-09-28 18:05,0.660253
2022-09-28 18:10,0.665489
2022-09-28 18:15,0.665335
2022-09-28 18:20,0.663553
2022-09-28 18:25,0.663146
2022-09-28 18:30,0.662805
2022-09-28 18:35,0.66264
2022-09-28 18:40,0.664059
2022-09-28 18:45,0.662024
2022-09-28 18:50,0.66352
2022-09-28 18:55,0.66462
2022-09-28 19:00,0.665005
2022-09-28 19:05,0.669174
2022-09-28 19:10,0.670241
2022-09-28 19:15,0.66825
2022-09-28 19:20,0.668635
2022-09-28 19:25,0.669295
2022-09-28 19:30,0.669636
2022-09-28 19:35,0.667843
2022-09-28 19:40,0.66792
2022-09-28 19:45,0.666974
2022-09-28 19:50,0.668162
2022-09-28 19:55,0.666721
2022-09-28 20:00,0.668822
2022-09-28 20:05,0.666787
2022-09-28 20:10,0.666974
2022-09-28 20:15,0.668459
2022-09-28 20:20,0.666831
2022-09-28 20:25,0.666875
2022-09-28 20:30,0.667029
2022-09-28 20:35,0.668646
2022-09-28 20:40,0.668129
2022-09-28 20:45,0.667051
2022-09-28 20:50,0.666941
2022-09-28 20:55,0.668371
2022-09-28 21:00,0.668646
2022-09-28 21:05,0.667106
2022-09-28 21:10,0.666512
2022-09-28 21:15,0.668569
2022-09-28 21:20,0.666501
2022-09-28 21:25,0.668338
2022-09-28 21:30,0.666171
2022-09-28 21:35,0.665907
2022-09-28 21:40,0.667557
2022-09-28 21:45,0.66638
2022-09-28 21:50,0.666424
2022-09-28 21:55,0.668833
2022-09-28 22:00,0.667843
2022-09-28 22:05,0.666897
2022-09-28 22:10,0.66704
2022-09-28 22:15,0.666754
2022-09-28 22:20,0.667414
2022-09-28 22:25,0.667183
2022-09-28 22:30,0.668283
2022-09-28 22:35,0.668899
2022-09-28 22:40,0.668305
2022-09-28 22:45,0.667106
2022-09-28 22:50,0.669009
2022-09-28 22:55,0.668437
2022-09-28 23:00,0.66847
2022-09-28 23:05,0.667062
2022-09-28 23:10,0.666633
2022-09-28 23:15,0.666523
2022-09-28 23:20,0.668371
2022-09-28 23:25,0.669669
2022-09-28 23:30,0.666897
2022-09-28 23:35,0.668591
2022-09-28 23:40,0.666666
2022-09-28 23:45,0.668459
2022-09-28 23:50,0.669493
2022-09-28 23:55,0.669229
2022-09-29 0:00,0.668184
2022-09-29 0:05,0.666787
2022-09-29 0:10,0.668052
2022-09-29 0:15,0.667249
2022-09-29 0:20,0.667271
2022-09-29 0:25,0.667073
2022-09-29 0:30,0.668844
2022-09-29 0:35,0.667205
2022-09-29 0:40,0.666963
2022-09-29 0:45,0.669317
2022-09-29 0:50,0.668646
2022-09-29 0:55,0.666831
2022-09-29 1:00,0.667304
2022-09-29 1:05,0.669009
2022-09-29 1:10,0.666644
2022-09-29 1:15,0.667007
2022-09-29 1:20,0.667007
2022-09-29 1:25,0.667359
2022-09-29 1:30,0.668646
2022-09-29 1:35,0.667084
2022-09-29 1:40,0.668646
2022-09-29 1:45,0.66814
2022-09-29 1:50,0.668019
2022-09-29 1:55,0.668074
2022-09-29 2:00,0.667733
2022-09-29 2:05,0.665995
2022-09-29 2:10,0.668635
2022-09-29 2:15,0.668514
2022-09-29 2:20,0.666666
2022-09-29 2:25,0.668624
2022-09-29 2:30,0.668327
2022-09-29 2:35,0.669845
2022-09-29 2:40,0.668998
2022-09-29 2:45,0.666732
2022-09-29 2:50,0.668184
2022-09-29 2:55,0.667821
2022-09-29 3:00,0.666413
2022-09-29 3:05,0.666083
2022-09-29 3:10,0.666633
2022-09-29 3:15,0.66671
2022-09-29 3:20,0.668943
2022-09-29 3:25,0.666952
2022-09-29 3:30,0.668756
2022-09-29 3:35,0.66858
2022-09-29 3:40,0.667557
2022-09-29 3:45,0.667722
2022-09-29 3:50,0.666072
2022-09-29 3:55,0.66792
2022-09-29 4:00,0.667656
2022-09-29 4:05,0.668008
2022-09-29 4:10,0.666479
2022-09-29 4:15,0.666039
2022-09-29 4:20,0.666149
2022-09-29 4:25,0.667975
2022-09-29 4:30,0.668129
2022-09-29 4:35,0.666369
2022-09-29 4:40,0.666919
2022-09-29 4:45,0.666369
2022-09-29 4:50,0.666908
2022-09-29 4:55,0.660946
2022-09-29 5:00,0.665951
2022-09-29 5:05,0.665467
2022-09-29 5:10,0.664059
2022-09-29 5:15,0.665764
2022-09-29 5:20,0.663872
2022-09-29 5:25,0.666006
2022-09-29 5:30,0.666798
2022-09-29 5:35,0.661342
2022-09-29 5:40,0.665544
2022-09-29 5:45,0.665698
2022-09-29 5:50,0.668107
2022-09-29 5:55,0.668239
2022-09-29 6:00,0.666281
2022-09-29 6:05,0.670967
2022-09-29 6:10,0.671341
2022-09-29 6:15,0.670593
2022-09-29 6:20,0.67265
2022-09-29 6:25,0.673013
2022-09-29 6:30,0.670934
2022-09-29 6:35,0.672397
2022-09-29 6:40,0.672122
2022-09-29 6:45,0.670703
2022-09-29 6:50,0.669988
2022-09-29 6:55,0.670736
2022-09-29 7:00,0.670362
2022-09-29 7:05,0.670681
2022-09-29 7:10,0.671924
2022-09-29 7:15,0.697433
2022-09-29 7:20,0.706024
2022-09-29 7:25,0.706937
2022-09-29 7:30,0.707927
2022-09-29 7:35,0.710798
2022-09-29 7:40,0.716001
2022-09-29 7:45,0.716518
2022-09-29 7:50,0.717343
2022-09-29 7:55,0.74701
2022-09-29 8:00,0.745393
2022-09-29 8:05,0.745767
2022-09-29 8:10,0.744601
2022-09-29 8:15,0.741631
2022-09-29 8:20,0.744777
2022-09-29 8:25,0.750288
2022-09-29 8:30,0.749067
2022-09-29 8:35,0.749364
2022-09-29 8:40,0.75625
2022-09-29 8:45,0.755183
2022-09-29 8:50,0.752796
2022-09-29 8:55,0.752334
2022-09-29 9:00,0.75317
2022-09-29 9:05,0.755843
2022-09-29 9:10,0.762993
2022-09-29 9:15,0.768119
2022-09-29 9:20,0.769703
2022-09-29 9:25,0.7667
2022-09-29 9:30,0.76241
2022-09-29 9:35,0.757845
2022-09-29 9:40,0.760463
2022-09-29 9:45,0.760573
2022-09-29 9:50,0.758505
2022-09-29 9:55,0.760034
2022-09-29 10:00,0.762861
2022-09-29 10:05,0.762201
